artist,category,color_1,color_2,color_3,color_4,color_5,color_6,color_7,hex_1,hex_2,hex_3,hex_4,hex_5,hex_6,hex_7,hex_color_1,hex_color_2,hex_color_3,hex_color_4,hex_color_5,hex_color_6,hex_color_7,id_number,image,plane,tags_list,title
Joel Vodell,photography,oklch(52.23% 0.0905 187.78),oklch(70.52% 0.0925 59.42),oklch(89.39% 0.0525 56.75),oklch(31.53% 0.0524 188.98),,,,#027a73,#cb9264,#f8d4bb,#043a37,,,,#027a73,#cb9264,#f8d4bb,#043a37,,,,1,https://thekymchee.github.io/found_color_schemes/00_images/joel-vodell-483785-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-joel-vodell-483785-unsplash.svg,orange; green blue,Zenith Beach Australia
Christine Zhu,photography,oklch(31.75% 0.0405 125.99),oklch(83.98% 0.0553 66.05),oklch(77.29% 0.0677 15.25),oklch(93.85% 0.0067 286.27),,,,#2d361f,#e4c4a5,#dda4a7,#eaeaef,,,,#2d361f,#e4c4a5,#dda4a7,#eaeaef,,,,2,https://thekymchee.github.io/found_color_schemes/00_images/christine-zhu-1460573-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-christine-zhu-1460573-unsplash.svg,gray; yellow orange; white; violet red,"Coffee, Roses, and a Croissant"
Diliara Garifullina,photography,oklch(81.43% 0.0494 62.97),oklch(37.29% 0.1219 35.75),oklch(61.49% 0.1131 221.95),oklch(77% 0.1611 76.76),,,,#dabca2,#731f06,#0393b5,#eda401,,,,#dabca2,#731f06,#0393b5,#eda401,,,,3,https://thekymchee.github.io/found_color_schemes/00_images/dilyara-garifullina-1360433-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-dilyara-garifullina-1360433-unsplash.svg,orange yellow; gray; brown; blue,Cheesecake Slice Caramel
Gong TY,photography,oklch(47.38% 0.096 141.13),oklch(63.27% 0.131 46.92),oklch(33.09% 0.1093 22.93),oklch(53.42% 0.1928 28.66),,,,#3b6934,#c96e3e,#621519,#c42820,,,,#3b6934,#c96e3e,#621519,#c42820,,,,4,https://thekymchee.github.io/found_color_schemes/00_images/gong-ty-1496166-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-gong-ty-1496166-unsplash.svg,green; brown; red orange,Wooden Passage Installation
Heather Barnes,photography,oklch(40.16% 0.0415 250.18),oklch(87.03% 0.0559 75.86),oklch(98.49% 0.0029 264.54),,,,,#374a5e,#ead0ac,#f9fafc,,,,,#374a5e,#ead0ac,#f9fafc,,,,,5,https://thekymchee.github.io/found_color_schemes/00_images/heather-barnes-1493834-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-heather-barnes-1493834-unsplash.svg,orange yellow; gray; white,Pancakes and Blueberries
Heather Barnes,photography,oklch(83.5% 0.0614 132.42),oklch(64.23% 0.2413 336.81),oklch(93.68% 0.01 267.36),,,,,#bad2a9,#e03ac1,#e7eaf1,,,,,#bad2a9,#e03ac1,#e7eaf1,,,,,6,https://thekymchee.github.io/found_color_schemes/00_images/heather-barnes-1493849-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-heather-barnes-1493849-unsplash.svg,red violet; green; white,Green Macaroons and Milk
Ina Soulis,photography,oklch(51.28% 0.1826 17.07),oklch(83.51% 0.0383 75.1),oklch(91.62% 0.0055 274.96),,,,,#b8233f,#d8c6ae,#e2e3e7,,,,,#b8233f,#d8c6ae,#e2e3e7,,,,,7,https://thekymchee.github.io/found_color_schemes/00_images/ina-soulis-227104-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-ina-soulis-227104-unsplash.svg,gray; white; violet red,Red Flowers and Brown Basket
Michael Liao,photography,oklch(74.15% 0.1443 112.58),oklch(95.01% 0.0184 232.51),oklch(46.06% 0.008 233.8),,,,,#adb437,#e3f1f9,#54595c,,,,,#adb437,#e3f1f9,#54595c,,,,,8,https://thekymchee.github.io/found_color_schemes/00_images/michael-liao-1508603-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-michael-liao-1508603-unsplash.svg,gray; white; yellow green,Foggy Moss
Mia Moessinger,photography,oklch(51.71% 0.1928 25.16),oklch(76.76% 0.0471 81.23),oklch(90.33% 0.0045 179.72),,,,,#be1e27,#c3b192,#dce0df,,,,,#be1e27,#c3b192,#dce0df,,,,,9,https://thekymchee.github.io/found_color_schemes/00_images/mia-moessinger-1508539-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-mia-moessinger-1508539-unsplash.svg,gray; brown; white,Strawberries and Bananas
Lucas Silva Pinheiro Santos,photography,oklch(79.34% 0.1486 86.65),oklch(64.43% 0.1246 71.42),oklch(52.73% 0.0513 105.25),oklch(33.21% 0.0302 164.98),,,,#e5b431,#bc7f26,#6f6d4a,#273b32,,,,#e5b431,#bc7f26,#6f6d4a,#273b32,,,,10,https://thekymchee.github.io/found_color_schemes/00_images/lucas-silva-pinheiro-santos-323448-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-lucas-silva-pinheiro-santos-323448-unsplash.svg,orange yellow; gray; yellow; green yellow,Sunflower
Monika Grabkowska,photography,oklch(85.27% 0.0346 328.87),oklch(69.46% 0.0908 343.65),oklch(76.18% 0.1092 117.47),,,,,#dcc7da,#c586ab,#acbb68,,,,,#dcc7da,#c586ab,#acbb68,,,,,11,https://thekymchee.github.io/found_color_schemes/00_images/monika-grabkowska-664428-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-monika-grabkowska-664428-unsplash.svg,gray; red violet; yellow green,Lavender
Niamt Ullah,photography,oklch(54.52% 0.0953 68.91),oklch(78.34% 0.0987 85.55),oklch(36.27% 0.0746 55.86),oklch(45.32% 0.083 133.49),,,,#94652b,#d5b46c,#5b3211,#43602e,,,,#94652b,#d5b46c,#5b3211,#43602e,,,,12,https://thekymchee.github.io/found_color_schemes/00_images/niamat-ullah-1493858-unsplash.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-niamat-ullah-1493858-unsplash.svg,orange; yellow orange; yellow; green,Schoolroom and Chalkboard
