artist,category,color_1,color_2,color_3,color_4,color_5,color_6,hex_1,hex_2,hex_3,hex_4,hex_5,hex_6,hex_color_1,hex_color_2,hex_color_3,hex_color_4,hex_color_5,hex_color_6,id_number,image,plane,tags_list,title
The Banshees of Inisherin,film,oklch(36.08% 0.0249 229.91),oklch(70.19% 0.0297 216.52),oklch(87.76% 0.0194 192.77),oklch(82.16% 0.0398 83.81),oklch(54.38% 0.0986 103.48),oklch(34.47% 0.0585 117.04),#304048,#8ba4ab,#c9dbda,#d1c3a8,#7a7223,#373d17,#304048,#8ba4ab,#c9dbda,#d1c3a8,#7a7223,#373d17,960861,https://thekymchee.github.io/found_color_schemes/00_images/1-TheBansheesofInisherin.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-1-TheBansheesofInisherin.svg,gray; yellow green; green yellow,"White House, Red Door"
The Banshees of Inisherin,film,oklch(15.99% 0.0053 173.58),oklch(73.16% 0.0276 259.05),oklch(90.76% 0.0153 273.84),oklch(48.42% 0.0976 121.68),oklch(38.15% 0.1145 13.79),,#0b0e0d,#9ea9ba,#dde0eb,#566720,#732130,,#0b0e0d,#9ea9ba,#dde0eb,#566720,#732130,,816792,https://thekymchee.github.io/found_color_schemes/00_images/2-TheBansheesofInisherin.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-2-TheBansheesofInisherin.svg,white; gray; violet red; yellow green; black,Lady in Red
The Banshees of Inisherin,film,oklch(15.3% 0.0056 39.28),oklch(37.56% 0.0734 43.54),oklch(47.67% 0.1 44.66),oklch(70.55% 0.131 68.17),,,#0e0b0a,#61331f,#8a4829,#d58f38,,,#0e0b0a,#61331f,#8a4829,#d58f38,,,706465,https://thekymchee.github.io/found_color_schemes/00_images/3-TheBansheesofInisherin.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-3-TheBansheesofInisherin.svg,brown; black; yellow orange,Night at the Inn
The Banshees of Inisherin,film,oklch(16.52% 0.0145 62.09),oklch(28.63% 0.0969 33.3),oklch(52.8% 0.0726 74.78),oklch(71.69% 0.046 69.23),oklch(91.51% 0.0154 12.45),,#130d08,#501004,#846539,#b79f85,#eddfe0,,#130d08,#501004,#846539,#b79f85,#eddfe0,,681572,https://thekymchee.github.io/found_color_schemes/00_images/4-TheBansheesofInisherin.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-4-TheBansheesofInisherin.svg,brown; white; gray; orange yellow; black,Letter Received
LotR: The Fellowship of the Ring,film,oklch(16.52% 0.0145 62.09),oklch(28.63% 0.0969 33.3),oklch(52.8% 0.0726 74.78),oklch(71.69% 0.046 69.23),oklch(91.51% 0.0154 12.45),,#130d08,#501004,#846539,#b79f85,#eddfe0,,#130d08,#501004,#846539,#b79f85,#eddfe0,,825357,https://thekymchee.github.io/found_color_schemes/00_images/5-TheLordoftheRingsTheFellowshipoftheRing.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-5-TheLordoftheRingsTheFellowshipoftheRing.svg,brown; white; gray; orange yellow; black,Visitor Welcomed
The Darjeeling Limited,film,oklch(27.21% 0.0068 164.47),oklch(37.15% 0.1027 45.95),oklch(55.53% 0.1153 56.38),oklch(70.52% 0.0882 77.13),oklch(88.24% 0.0295 106.99),,#242826,#6a2a02,#a55f25,#bf995f,#dadac4,,#242826,#6a2a02,#a55f25,#bf995f,#dadac4,,284567,https://thekymchee.github.io/found_color_schemes/00_images/7-TheDarjeelingLimited.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-7-TheDarjeelingLimited.svg,orange; brown; gray; orange yellow,Catching a Train
The Royal Tenenbaums,film,oklch(31.05% 0.1164 29.13),oklch(45.09% 0.172 31.59),oklch(55.6% 0.1442 45.78),oklch(60.25% 0.1138 71.23),oklch(77.88% 0.1386 59.95),,#5e0a06,#9f1701,#b55219,#ab7426,#f7a053,,#5e0a06,#9f1701,#b55219,#ab7426,#f7a053,,909916,https://thekymchee.github.io/found_color_schemes/00_images/8-TheRoyalTenenbaums.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-8-TheRoyalTenenbaums.svg,orange; brown; orange yellow,Royal Red
The French Dispatch,film,oklch(17.2% 0.0244 226.11),oklch(35.62% 0.043 224.51),oklch(46.71% 0.0544 204.02),oklch(46.12% 0.0794 77.19),oklch(67.44% 0.0873 75.38),,#041218,#21414d,#316368,#71521e,#b68f57,,#041218,#21414d,#316368,#71521e,#b68f57,,561068,https://thekymchee.github.io/found_color_schemes/00_images/9-TheFrenchDispatch.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-9-TheFrenchDispatch.svg,orange yellow; gray; green blue; black,French Blues
The Wonderful Story of Henry Sugar,film,oklch(45.59% 0.1214 31.36),oklch(61.62% 0.1471 32.73),oklch(66.02% 0.0558 88.99),oklch(49.29% 0.0417 164.34),oklch(67.32% 0.0636 138.35),oklch(93.61% 0.0725 124.58),#8e3729,#ce5e48,#a0916b,#4b695b,#83a07a,#dff3be,#8e3729,#ce5e48,#a0916b,#4b695b,#83a07a,#dff3be,762520,https://thekymchee.github.io/found_color_schemes/00_images/10-TheWonderfulStoryofHenrySugar.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-10-TheWonderfulStoryofHenrySugar.svg,brown; orange red; green; gray; yellow; yellow green,Quiet Meditation
Asteroid City,film,oklch(38.28% 0.0163 131.05),oklch(62.83% 0.0484 158.83),oklch(73.74% 0.046 121.64),oklch(73.86% 0.0967 71.02),oklch(56.9% 0.0894 54.09),,#40453c,#70927e,#a5af8f,#d1a064,#a06842,,#40453c,#70927e,#a5af8f,#d1a064,#a06842,,452978,https://thekymchee.github.io/found_color_schemes/00_images/12-AsteroidCity.jpg,https://thekymchee.github.io/found_color_schemes/01_color_planes/color_plane-12-AsteroidCity.svg,orange; gray; orange yellow,Local Diner
